"","score","protein1","protein2"
"688",0.961,"ATG16L2","RB1CC1"
"689",0.999,"ATG14","RB1CC1"
"690",0.969,"OPTN","RB1CC1"
"691",0.989,"PIK3C3","RB1CC1"
"692",0.999,"NRBF2","RB1CC1"
"693",0.999,"CALCOCO2","RB1CC1"
"694",0.967,"GABARAPL1","RB1CC1"
"695",0.982,"MTOR","RB1CC1"
"696",0.962,"AKT1S1","RB1CC1"
"697",0.949,"ATG10","RB1CC1"
"698",0.912,"MAP3K5","RB1CC1"
"699",0.986,"PIK3R4","RB1CC1"
"700",0.999,"ATG101","RB1CC1"
"701",0.999,"ATG13","RB1CC1"
"702",0.936,"ATG3","RB1CC1"
"703",0.979,"RB1CC1","RPTOR"
"704",0.939,"AKAP11","PRKACA"
"705",0.948,"AKAP11","PRKACB"
"706",0.999,"PIGP","PIGQ"
"707",0.999,"PIGH","PIGQ"
"708",0.999,"PIGC","PIGQ"
"709",0.999,"DPM2","PIGQ"
"710",0.999,"PIGA","PIGQ"
"711",0.999,"PIGQ","PIGY"
"712",0.996,"PIGL","PIGQ"
"713",0.991,"CDH17","CTNND2"
"714",0.99,"CDH17","VCL"
"715",0.995,"CDH17","PECAM1"
"716",0.949,"CDH17","OCLN"
"717",0.927,"CDH17","DSP"
"718",0.991,"CDH17","KDR"
"719",0.925,"CDH17","PSEN1"
"720",0.999,"CDH17","CTNND1"
"721",0.927,"CDH17","CTNNA2"
"722",0.983,"CDH17","CTNNA1"
"723",0.992,"CDH17","NECTIN1"
"724",0.999,"CDH17","CTNNB1"
"725",0.929,"CDH17","KLRG1"
"726",0.95,"CDH17","TJP1"
"727",0.978,"B4GALT7","XYLT1"
"728",0.988,"B3GALT6","B4GALT7"
"729",0.936,"CHPF2","CSGALNACT2"
"730",0.933,"CHPF2","CSGALNACT1"
"731",0.901,"GABARAPL2","PLEKHM1"
"732",0.94,"GABARAPL2","WIPI2"
"733",0.979,"CD300C","GABARAPL2"
"734",0.964,"GABARAP","GABARAPL2"
"735",0.972,"BCL2L13","GABARAPL2"
"736",0.905,"GABARAPL2","MAP1B"
"737",0.999,"ATG12","GABARAPL2"
"738",0.938,"GABARAPL2","PRKACB"
"739",0.953,"BECN2","GABARAPL2"
"740",0.99,"ATG16L1","GABARAPL2"
"741",0.999,"GABARAPL2","SQSTM1"
"742",0.999,"GABARAPL2","NBR1"
"743",0.923,"GABARAPL2","MAP1A"
"744",0.999,"ATG7","GABARAPL2"
"745",0.974,"GABARAPL2","SIRT1"
"746",0.993,"ATG4D","GABARAPL2"
"747",0.927,"GABARAPL2","TBC1D5"
"748",0.999,"ATG5","GABARAPL2"
"749",0.923,"GABARAPL2","PEX6"
"750",0.953,"GABARAPL2","PEX10"
"751",0.997,"BNIP3","GABARAPL2"
"752",0.986,"FUNDC1","GABARAPL2"
"753",0.946,"GABARAPL2","PSMD4"
"754",0.997,"GABARAPL2","ULK1"
"755",0.983,"GABARAPL2","TBC1D15"
"756",0.992,"BECN1","GABARAPL2"
"757",0.985,"GABARAPL2","TAX1BP1"
"758",0.936,"GABARAPL2","ULK2"
"759",0.99,"ATG4C","GABARAPL2"
"760",0.932,"GABARAPL2","RETREG1"
"761",0.987,"ATG13","GABARAPL2"
"762",0.937,"GABARAPL2","PRKACG"
"763",0.999,"ATG3","GABARAPL2"
"764",0.938,"GABARAPL2","PRKACA"
"765",0.999,"BNIP3L","GABARAPL2"
"766",0.995,"ATG4A","GABARAPL2"
"767",0.972,"GABARAPL2","TBC1D17"
"768",0.912,"GABARAPL2","PIK3R4"
"769",0.999,"ATG4B","GABARAPL2"
"770",0.937,"ATG10","GABARAPL2"
"771",0.996,"CALCOCO2","GABARAPL2"
"772",0.974,"GABARAPL2","TP53INP2"
"773",0.952,"GABARAPL1","GABARAPL2"
"774",0.982,"GABARAPL2","TBC1D25"
"775",0.994,"GABARAPL2","UBA5"
"776",0.994,"ATG14","GABARAPL2"
"777",0.984,"GABARAPL2","PIK3C3"
"778",0.998,"GABARAPL2","OPTN"
"779",0.944,"CYP1B1","MYOC"
"780",0.95,"MYOC","OPTN"
"781",0.969,"MYOC","WDR36"
"782",0.909,"FBN1","MYOC"
"783",0.963,"MYOC","OLFM3"
"784",0.993,"ARG1","OTC"
"785",0.966,"ACY1","OTC"
"786",0.993,"ARG2","OTC"
"787",0.977,"NAGS","OTC"
"788",0.984,"GBE1","OTC"
"789",0.923,"NOS1","OTC"
"790",0.922,"NOS2","OTC"
"791",0.975,"CAD","OTC"
"792",0.923,"NOS3","OTC"
"793",0.999,"ASS1","OTC"
"794",0.989,"OAT","OTC"
"795",0.998,"CPS1","OTC"
"796",0.963,"ASL","OTC"
"797",0.909,"ADI1","MRI1"
"798",0.975,"ENOPH1","MRI1"
"799",0.991,"MRI1","MTAP"
"800",0.992,"APIP","MRI1"
"801",0.928,"BOD1L1","CXXC1"
"802",0.927,"BOD1L1","SETD1A"
"803",0.915,"BOD1L1","RBBP5"
"804",0.993,"OMG","RTN4R"
"805",0.998,"NGFR","RTN4R"
"806",0.999,"RTN4","RTN4R"
"807",0.995,"LINGO1","RTN4R"
"808",0.996,"ANPEP","RTN4R"
"809",0.999,"MAG","RTN4R"
"810",0.994,"RTN4R","TNFRSF19"
"811",0.99,"PSMA4","PSME2"
"812",0.966,"PSMA4","UBC"
"813",0.999,"PSMA4","PSMD8"
"814",0.999,"PSMA4","PSMC6"
"815",0.999,"PSMA4","PSMB3"
"816",0.999,"POMP","PSMA4"
"817",0.994,"DESI1","PSMA4"
"818",0.999,"PSMA3","PSMA4"
"819",0.999,"PSMA4","PSMC1"
"820",0.999,"PSMA4","PSMB8"
"821",0.999,"PSMA4","PSMD14"
"822",0.999,"PSMA4","PSMB9"
"823",0.999,"PSMA4","PSMD1"
"824",0.999,"PSMA4","PSMB2"
"825",0.939,"CHRNA3","PSMA4"
"826",0.999,"PSMA4","PSMA5"
"827",0.938,"CHRNB4","PSMA4"
"828",0.927,"AKIRIN2","PSMA4"
"829",0.999,"PSMA4","PSMD2"
"830",0.995,"PSMA4","PSMA8"
"831",0.999,"PSMA4","PSMD7"
"832",0.999,"PSMA4","PSMB1"
"833",0.998,"PSMA4","PSMD13"
"834",0.999,"PSMA4","PSMA6"
"835",0.946,"CHRNA5","PSMA4"
"836",0.978,"PSMA4","RPS27A"
"837",0.999,"PSMA4","PSMD12"
"838",0.995,"PSMA4","UBQLN4"
"839",0.999,"PSMA1","PSMA4"
"840",0.999,"PSMA4","PSMB6"
"841",0.992,"PSMA4","PSME1"
"842",0.978,"ADRM1","PSMA4"
"843",0.999,"PSMA4","PSMB4"
"844",0.999,"PSMA4","PSMB5"
"845",0.999,"PSMA4","PSMD6"
"846",0.999,"PSMA4","PSMB7"
"847",0.998,"PSMA4","UCHL5"
"848",0.982,"PSMA4","PSMF1"
"849",0.995,"PSMA4","PSMB10"
"850",0.97,"PSMA4","UBB"
"851",0.971,"PSMA4","PSMG2"
"852",0.998,"PSMA4","PSMD3"
"853",0.996,"PSMA4","USP14"
"854",0.999,"PSMA2","PSMA4"
"855",0.999,"PSMA4","PSMD4"
"856",0.999,"PSMA4","PSMC2"
"857",0.999,"PSMA4","PSMA7"
"858",0.999,"PSMA4","PSMC3"
"859",0.999,"PSMA4","PSMC4"
"860",0.999,"PSMA4","PSMC5"
"861",0.992,"PSMA4","PSME4"
"862",0.943,"PSMA4","UBA52"
"863",0.999,"PSMA4","PSMD11"
"864",0.999,"LAT","LCP2"
"865",0.999,"ITK","LCP2"
"866",0.941,"CD247","LCP2"
"867",0.993,"FYN","LCP2"
"868",0.96,"LCP2","TYROBP"
"869",0.977,"LCP2","NCK2"
"870",0.977,"LCP2","RABIF"
"871",0.999,"LCK","LCP2"
"872",0.917,"LCP2","TEC"
"873",0.933,"LCP2","MAP4K1"
"874",0.948,"LCP2","PTPN11"
"875",0.999,"GRAP2","LCP2"
"876",0.999,"LCP2","VAV3"
"877",0.905,"CD6","LCP2"
"878",0.978,"LCP2","PTPN6"
"879",0.967,"LCP2","LYN"
"880",0.935,"LCP2","PTPRC"
"881",0.999,"LCP2","VAV1"
"882",0.926,"LCP2","RAP1B"
"883",0.999,"LCP2","PLCG1"
"884",0.907,"CD3D","LCP2"
"885",0.991,"BLNK","LCP2"
"886",0.999,"GRB2","LCP2"
"887",0.999,"FYB1","LCP2"
"888",0.998,"LCP2","PLCG2"
"889",0.931,"LCP2","SOS1"
"890",0.925,"LCP2","RAP1A"
"891",0.999,"LCP2","SYK"
"892",0.945,"LCP2","SHC1"
"893",0.999,"BTK","LCP2"
"894",0.999,"LCP2","NCK1"
"895",0.999,"LCP2","ZAP70"
"896",0.971,"GRAP","LCP2"
"897",0.969,"LCP2","SRC"
"898",0.917,"LCP2","RANGAP1"
"899",0.981,"CBL","LCP2"
"900",0.987,"LCP2","SKAP1"
"901",0.995,"LCP2","VAV2"
"902",0.979,"LCP2","WAS"
"903",0.954,"DCN","FGF7"
"904",0.962,"ACAN","DCN"
"905",0.958,"DCN","ERBB2"
"906",0.988,"DCN","TLR4"
"907",0.954,"DCN","MFAP2"
"908",0.981,"DCN","VCAN"
"909",0.905,"DCN","FGF5"
"910",0.936,"DCN","FGF8"
"911",0.912,"DCN","FBN1"
"912",0.999,"DCN","EGFR"
"913",0.945,"DCN","VTN"
"914",0.905,"DCN","FGF17"
"915",0.935,"DCN","SDC1"
"916",0.94,"DCN","FGF22"
"917",0.978,"DCN","LUM"
"918",0.922,"DCN","ERBB4"
"919",0.937,"DCN","FGF9"
"920",0.999,"DCN","TGFB1"
"921",0.939,"CCN2","DCN"
"922",0.996,"DCN","FN1"
"923",0.905,"DCN","SPARC"
"924",0.937,"DCN","FGF18"
"925",0.989,"BGN","DCN"
"926",0.99,"DCN","TLR2"
"927",0.936,"DCN","FGF6"
"928",0.931,"DCN","KDR"
"929",0.93,"COL1A2","DCN"
"930",0.938,"DCN","FGF20"
"931",0.917,"DCN","EGF"
"932",0.936,"DCN","FGF3"
"933",0.989,"DCN","YBX1"
"934",0.986,"DCN","MET"
"935",0.935,"COL3A1","DCN"
"936",0.913,"DCN","ERBB3"
"937",0.991,"DCN","YBX3"
"938",0.936,"DCN","FGF4"
"939",0.993,"DCN","ELN"
"940",0.938,"DCN","FMOD"
"941",0.937,"COL14A1","DCN"
"942",0.964,"DCN","P3H3"
"943",0.923,"COL1A1","DCN"
"944",0.986,"DCN","HSPG2"
"945",0.961,"DCN","TGFB3"
"946",0.989,"DCN","IGF1"
"947",0.938,"DCN","FGF16"
"948",0.943,"DCN","FGF10"
"949",0.997,"TNFRSF17","TNFSF13"
"950",0.975,"TNFRSF13B","TNFRSF17"
"951",0.999,"TNFRSF17","TNFSF13B"
"952",0.944,"TNFRSF13C","TNFRSF17"
"953",0.999,"MZB1","TNFRSF17"
"954",0.993,"MRPS10","MRPS23"
"955",0.905,"MRPS10","RPL26"
"956",0.951,"MRPS10","UBA52"
"957",0.976,"MRPS10","RPS6"
"958",0.986,"MRPS10","MRPS28"
"959",0.954,"HIBCH","MRPS10"
"960",0.983,"MRPS10","RPS15"
"961",0.959,"MRPS10","RPS2"
"962",0.906,"MRPL50","MRPS10"
"963",0.997,"MRPS10","MRPS24"
"964",0.998,"MRPL17","MRPS10"
"965",0.974,"MRPS10","RPS8"
"966",0.982,"MRPS10","RPL37A"
"967",0.92,"MRPS10","RPS10-NUDT3"
"968",0.999,"MRPS10","MRPS6"
"969",0.972,"MRPS10","RPL24"
"970",0.936,"MRPL51","MRPS10"
"971",0.915,"MRPS10","MTIF3"
"972",0.937,"CCDC105","MRPS10"
"973",0.995,"MRPS10","MRPS33"
"974",0.999,"MRPS10","MRPS9"
"975",0.998,"MRPS10","MRPS25"
"976",0.998,"MRPL21","MRPS10"
"977",0.987,"MRPS10","RPL23A"
"978",0.947,"MED1","MRPS10"
"979",0.979,"MRPS10","RPS25"
"980",0.998,"MRPS10","MRPS31"
"981",0.997,"MRPL12","MRPS10"
"982",0.997,"MRPS10","MRPS22"
"983",0.95,"MRPS10","RPS5"
"984",0.979,"MRPS10","RPS28"
"985",0.998,"MRPL33","MRPS10"
"986",0.997,"MRPS10","MRPS18A"
"987",0.977,"MRPS10","RPS7"
"988",0.943,"MRPS10","POLR1C"
"989",0.901,"MRPS10","RPL4"
"990",0.964,"MRPS10","RPLP1"
"991",0.999,"MRPL36","MRPS10"
"992",0.946,"MRPS10","POLR2C"
"993",0.972,"MRPS10","RPS17"
"994",0.983,"MRPS10","RPL30"
"995",0.938,"MRPL18","MRPS10"
"996",0.997,"MRPL3","MRPS10"
"997",0.986,"ERAL1","MRPS10"
"998",0.983,"MRPS10","RPL5"
"999",0.992,"MRPS10","MRPS26"
"1000",0.913,"MRPS10","WDR31"
"1001",0.979,"MRPS10","RPL19"
"1002",0.988,"MRPS10","RPS18"
"1003",0.974,"MRPS10","RPL34"
"1004",0.926,"MRPL54","MRPS10"
"1005",0.993,"MRPS10","PTCD3"
"1006",0.901,"MRPL37","MRPS10"
"1007",0.988,"MRPS10","RPL35"
"1008",0.992,"MRPL49","MRPS10"
"1009",0.918,"MRPS10","RACK1"
"1010",0.976,"MRPS10","RPL15"
"1011",0.979,"MRPS10","RPS19"
"1012",0.904,"MRPS10","RPL7L1"
"1013",0.982,"MRPS10","RPL23"
"1014",0.912,"MRPL45","MRPS10"
"1015",0.999,"MRPS10","MRPS16"
"1016",0.978,"MRPS10","RPL36"
"1017",0.998,"MRPL13","MRPS10"
"1018",0.997,"MRPL4","MRPS10"
"1019",0.993,"MRPL2","MRPS10"
"1020",0.999,"MRPS10","MRPS11"
"1021",0.949,"MRPS10","MRTO4"
"1022",0.921,"MRPS10","RPS10"
"1023",0.998,"MRPL32","MRPS10"
"1024",0.908,"MRPL55","MRPS10"
"1025",0.959,"MRPS10","RPL13"
"1026",0.998,"MRPS10","MRPS27"
"1027",0.954,"MRPS10","RPL9"
"1028",0.974,"MRPS10","MRPS30"
"1029",0.978,"MRPS10","RPL18"
"1030",0.975,"MRPS10","RPS21"
"1031",0.946,"IMP3","MRPS10"
"1032",0.98,"MRPS10","RPS24"
"1033",0.986,"MRPS10","RPL11"
"1034",0.998,"MRPS10","TUFM"
"1035",0.999,"MRPS10","MRPS12"
"1036",0.918,"MRPS10","RPS27L"
"1037",0.996,"MRPL44","MRPS10"
"1038",0.927,"MRPS10","NSA2"
"1039",0.987,"MRPL11","MRPS10"
"1040",0.976,"MRPL30","MRPS10"
"1041",0.991,"MRPL24","MRPS10"
"1042",0.951,"CUL7","MRPS10"
"1043",0.984,"MRPS10","RPS3"
"1044",0.999,"MRPS10","MRPS2"
"1045",0.978,"MRPS10","RPS3A"
"1046",0.997,"MRPL16","MRPS10"
"1047",0.997,"MRPL22","MRPS10"
"1048",0.99,"AURKAIP1","MRPS10"
"1049",0.945,"MRPS10","RPLP0"
"1050",0.99,"MRPS10","MTIF2"
"1051",0.993,"MRPS10","MRPS17"
"1052",0.942,"EIF1AY","MRPS10"
"1053",0.98,"MRPS10","PDCD11"
"1054",0.99,"MRPL41","MRPS10"
"1055",0.997,"FAU","MRPS10"
"1056",0.958,"MRPL15","MRPS10"
"1057",0.996,"MRPL40","MRPS10"
"1058",0.979,"MRPS10","RPL29"
"1059",0.908,"EPRS1","MRPS10"
"1060",0.963,"MRPS10","RPL38"
"1061",0.996,"MRPL20","MRPS10"
"1062",0.999,"DAP3","MRPS10"
"1063",0.944,"MRPS10","RPS23"
"1064",0.984,"MRPL1","MRPS10"
"1065",0.98,"MRPS10","RPS9"
"1066",0.999,"MRPS10","MRPS5"
"1067",0.999,"MRPS10","MRPS35"
"1068",0.985,"METTL17","MRPS10"
"1069",0.993,"MRPS10","MRPS21"
"1070",0.953,"MRPS10","PPP1R26"
"1071",0.967,"MRPL10","MRPS10"
"1072",0.989,"MRPS10","MRRF"
"1073",0.974,"MRPL38","MRPS10"
"1074",0.953,"MRPS10","RPLP2"
"1075",0.999,"MRPS10","MRPS7"
"1076",0.995,"MRPL47","MRPS10"
"1077",0.999,"MRPS10","MRPS14"
"1078",0.999,"MRPS10","MRPS15"
"1079",0.978,"MRPS10","RPL21"
"1080",0.934,"MRPL48","MRPS10"
"1081",0.989,"MRPL42","MRPS10"
"1082",0.993,"MRPL46","MRPS10"
"1083",0.909,"EIF2S1","MRPS10"
"1084",0.92,"MRPS10","TSFM"
"1085",0.998,"MRPS10","MRPS18B"
"1086",0.973,"MRPS10","RPL18A"
"1087",0.997,"MRPL43","MRPS10"
"1088",0.963,"MRPS10","RPS26"
"1089",0.93,"MRPS10","TFB1M"
"1090",0.943,"EIF1AX","MRPS10"
"1091",0.973,"GFM1","MRPS10"
"1092",0.998,"MRPL27","MRPS10"
"1093",0.996,"MRPS10","MRPS34"
"1094",0.999,"MRPL19","MRPS10"
"1095",0.985,"MRPL58","MRPS10"
"1096",0.982,"MRPS10","RPL35A"
"1097",0.917,"MRPS10","RPS27"
"1098",0.972,"MRPS10","RPL28"
"1099",0.981,"MRPS10","RPL31"
"1100",0.997,"MRPL9","MRPS10"
"1101",0.993,"MRPL23","MRPS10"
"1102",0.998,"MRPS10","MRPS18C"
"1103",0.993,"MRPL34","MRPS10"
"1104",0.985,"CHCHD1","MRPS10"
"1105",0.982,"MRPS10","RPS11"
"1106",0.909,"GUCA1A","GUCA1C"
"1107",0.944,"GUCA1A","GUCA1B"
"1108",0.999,"GUCA1A","GUCY2D"
"1109",0.982,"GUCA1A","GUCY2F"
"1110",0.906,"GRN","TMEM106B"
"1111",0.958,"GRN","TARDBP"
"1112",0.907,"GRN","HSPG2"
"1113",0.968,"GRN","SORT1"
"1114",0.934,"GRN","SLPI"
"1115",0.999,"SNAP23","VAMP3"
"1116",0.999,"STX6","VAMP3"
"1117",0.981,"STX7","VAMP3"
"1118",0.974,"NAPA","VAMP3"
"1119",0.999,"STX1A","VAMP3"
"1120",0.985,"SNAP29","VAMP3"
"1121",0.998,"VAMP3","VTI1A"
"1122",0.999,"SNAP25","VAMP3"
"1123",0.988,"VAMP3","VAMP8"
"1124",0.914,"VAMP1","VAMP3"
"1125",0.999,"STX4","VAMP3"
"1126",0.997,"STX2","VAMP3"
"1127",0.992,"STX12","VAMP3"
"1128",0.998,"VAMP3","VAMP7"
"1129",0.998,"STX16","VAMP3"
"1130",0.917,"SNX4","VAMP3"
"1131",0.983,"VAMP3","VTI1B"
"1132",0.975,"SYT1","VAMP3"
"1133",0.92,"GOSR1","VAMP3"
"1134",0.92,"STX11","VAMP3"
"1135",0.981,"CPLX1","VAMP3"
"1136",0.999,"STX3","VAMP3"
"1137",0.997,"STX10","VAMP3"
"1138",0.936,"STX8","VAMP3"
"1139",0.998,"STX1B","VAMP3"
"1140",0.995,"VAMP2","VAMP3"
"1141",0.952,"STX17","VAMP3"
"1142",0.914,"STX5","VAMP3"
"1143",0.999,"UTS2","UTS2R"
"1144",0.997,"RAD9A","RFC2"
"1145",0.999,"RFC2","RFC5"
"1146",0.999,"RFC1","RFC2"
"1147",0.999,"CHTF8","RFC2"
"1148",0.912,"POLA2","RFC2"
"1149",0.999,"RFC2","RFC4"
"1150",0.999,"DSCC1","RFC2"
"1151",0.938,"RAD1","RFC2"
"1152",0.939,"FEN1","RFC2"
"1153",0.901,"MSH6","RFC2"
"1154",0.999,"PCNA","RFC2"
"1155",0.999,"RFC2","RFC3"
"1156",0.992,"HUS1","RFC2"
"1157",0.999,"RAD17","RFC2"
"1158",0.999,"ATAD5","RFC2"
"1159",0.999,"CHTF18","RFC2"
"1160",0.94,"BRCA1","RFC2"
"1161",0.923,"GYS1","PPP1R3F"
"1162",0.935,"PPP1R3A","PPP1R3F"
"1163",0.942,"PPP1R3E","PPP1R3F"
"1164",0.929,"PPP1CA","PPP1R3F"
"1165",0.935,"PPP1CB","PPP1R3F"
"1166",0.924,"GYS2","PPP1R3F"
"1167",0.911,"PPP1R3C","PPP1R3F"
"1168",0.929,"PPP1R3B","PPP1R3F"
"1169",0.915,"PPP1R3D","PPP1R3F"
"1170",0.961,"PPP1CC","PPP1R3F"
"1171",0.969,"MAFK","NFE2L3"
"1172",0.937,"MAFG","NFE2L3"
"1173",0.905,"MAF","NFE2L3"
"1174",0.937,"CHRD","TLL1"
"1175",0.981,"CLDN11","TJP1"
"1176",0.958,"CLDN11","OCLN"
"1177",0.954,"OXSR1","RELT"
"1178",0.999,"DSG2","PKP2"
"1179",0.973,"GJA1","PKP2"
"1180",0.976,"PKP2","SCN5A"
"1181",0.999,"DSP","PKP2"
"1182",0.977,"DSC3","PKP2"
"1183",0.999,"DSC2","PKP2"
"1184",0.933,"PKP2","TMEM43"
"1185",0.991,"JUP","PKP2"
"1186",0.982,"CTNNA3","PKP2"
"1187",0.959,"DSG1","PKP2"
"1188",0.946,"FBXO32","YIPF1"
"1189",0.934,"INPP4A","MTMR2"
"1190",0.939,"INPP4A","PIK3C2A"
"1191",0.943,"INPP4A","PIKFYVE"
"1192",0.962,"INPP4A","INPPL1"
"1193",0.953,"INPP4A","SYNJ1"
"1194",0.93,"INPP4A","INPP5A"
"1195",0.901,"IMPAD1","INPP4A"
"1196",0.915,"INPP4A","ITPK1"
"1197",0.911,"INPP4A","INPP4B"
"1198",0.929,"INPP1","INPP4A"
"1199",0.935,"INPP4A","PIK3C2B"
"1200",0.911,"IMPA1","INPP4A"
"1201",0.943,"INPP4A","INPP5D"
"1202",0.953,"INPP4A","INPP5B"
"1203",0.935,"INPP4A","MTMR6"
"1204",0.932,"INPP4A","PIK3C2G"
"1205",0.946,"INPP4A","PTEN"
"1206",0.935,"INPP4A","MTM1"
"1207",0.913,"INPP4A","MTMR3"
"1208",0.946,"INPP4A","PIK3R2"
"1209",0.938,"INPP4A","PIK3C3"
"1210",0.934,"FIG4","INPP4A"
"1211",0.913,"INPP4A","MTMR14"
"1212",0.957,"INPP4A","OCRL"
"1213",0.915,"INPP4A","PIK3R1"
"1214",0.938,"INPP4A","MTMR1"
"1215",0.913,"INPP4A","PIK3R3"
"1216",0.943,"INPP4A","INPP5E"
"1217",0.905,"INPP4A","MTMR8"
"1218",0.91,"INPP4A","MTMR7"
"1219",0.942,"INPP4A","SYNJ2"
"1220",0.917,"INPP4A","MTMR4"
"1221",0.912,"INPP4A","ISYNA1"
"1222",0.914,"IMPA2","INPP4A"
"1223",0.902,"CHRM5","GNA11"
"1224",0.907,"GNA11","GRM5"
"1225",0.948,"GNA11","GNG2"
"1226",0.961,"ADRA1D","GNA11"
"1227",0.915,"GNA11","HTR2C"
"1228",0.96,"EDNRA","GNA11"
"1229",0.936,"GNA11","PTH1R"
"1230",0.977,"CASR","GNA11"
"1231",0.917,"AVPR1A","GNA11"
"1232",0.914,"ADRA2A","GNA11"
"1233",0.925,"GNA11","HTR2B"
"1234",0.927,"ADRA1B","GNA11"
"1235",0.913,"FFAR1","GNA11"
"1236",0.971,"EDNRB","GNA11"
"1237",0.943,"GHSR","GNA11"
"1238",0.969,"ADRA1A","GNA11"
"1239",0.909,"AVPR1B","GNA11"
"1240",0.906,"GNA11","PLCG2"
"1241",0.973,"GNA11","PLCB4"
"1242",0.921,"CXCR4","GNA11"
"1243",0.92,"GNA11","HTR2A"
"1244",0.92,"CHRM1","GNA11"
"1245",0.921,"CCKAR","GNA11"
"1246",0.922,"GNA11","GNRHR"
"1247",0.973,"GNA11","GNAQ"
"1248",0.908,"CHRM3","GNA11"
"1249",0.914,"ADRA2C","GNA11"
"1250",0.994,"GNA11","GNB1"
"1251",0.944,"GNA11","PLCB2"
"1252",0.942,"AGTR1","GNA11"
"1253",0.936,"GNA11","PLCG1"
"1254",0.921,"GNA11","GRM1"
"1255",0.952,"GNA11","PLCB3"
"1256",0.973,"GNA11","PLCB1"
"1257",0.913,"GNA11","KISS1R"
"1258",0.925,"BDKRB2","GNA11"
"1259",0.942,"CCR5","GNA11"
"1260",0.91,"ADRA2B","GNA11"
"1261",0.915,"BDKRB1","GNA11"
"1262",0.931,"ATF6B","CREB3L3"
"1263",0.972,"CREB1","CREB3L3"
"1264",0.911,"CREB3L3","CREM"
"1265",0.907,"ATF2","CREB3L3"
"1266",0.95,"CREB3L1","CREB3L3"
"1267",0.935,"CREB3L3","GSK3B"
"1268",0.912,"CREB3L3","EP300"
"1269",0.93,"CREB3L3","CREB3L4"
"1270",0.958,"CREB3","CREB3L3"
"1271",0.94,"CREB3L2","CREB3L3"
"1272",0.91,"CREB3L3","CREBBP"
"1273",0.95,"CREB3L3","PPARGC1A"
"1274",0.935,"ATF4","CREB3L3"
"1275",0.918,"CREB3L3","CREB5"
"1276",0.907,"CREB3L3","MAPK1"
"1277",0.942,"CREB3L3","CRTC2"
"1278",0.953,"CREB3L3","MBTPS2"
"1279",0.945,"CREB3L3","MBTPS1"
"1280",0.915,"CREB3L3","MAPK3"
"1281",0.959,"HDAC7","MEF2A"
"1282",0.98,"HDAC7","KAT5"
"1283",0.94,"EP300","HDAC7"
"1284",0.953,"FOXP3","HDAC7"
"1285",0.927,"HDAC7","HIF1A"
"1286",0.93,"HDAC7","NCOR2"
"1287",0.976,"FOXA1","HDAC7"
"1288",0.959,"HDAC7","NCOR1"
"1289",0.994,"MRPL36","MRPS35"
"1290",0.904,"MRPL18","MRPS35"
"1291",0.992,"MRPL33","MRPS35"
"1292",0.998,"MRPS22","MRPS35"
"1293",0.991,"MRPS18A","MRPS35"
"1294",0.966,"MRPL21","MRPS35"
"1295",0.992,"MRPS33","MRPS35"
"1296",0.998,"MRPS25","MRPS35"
"1297",0.999,"MRPS35","MRPS9"
"1298",0.918,"MRPL12","MRPS35"
"1299",0.998,"MRPS31","MRPS35"
"1300",0.963,"HIBCH","MRPS35"
"1301",0.986,"MRPS28","MRPS35"
"1302",0.996,"MRPS23","MRPS35"
"1303",0.926,"MRPS35","MTIF3"
"1304",0.998,"MRPS35","MRPS6"
"1305",0.995,"MRPL17","MRPS35"
"1306",0.997,"MRPS24","MRPS35"
"1307",0.922,"MRPS35","RPS2"
"1308",0.972,"MRPS30","MRPS35"
"1309",0.98,"MRPL11","MRPS35"
"1310",0.992,"MRPL44","MRPS35"
"1311",0.94,"MRPS35","TUFM"
"1312",0.998,"MRPS12","MRPS35"
"1313",0.999,"MRPS11","MRPS35"
"1314",0.98,"MRPL2","MRPS35"
"1315",0.995,"MRPL13","MRPS35"
"1316",0.994,"MRPL4","MRPS35"
"1317",0.991,"MRPS27","MRPS35"
"1318",0.994,"MRPL32","MRPS35"
"1319",0.991,"MRPL49","MRPS35"
"1320",0.999,"MRPS35","PTCD3"
"1321",0.998,"MRPS16","MRPS35"
"1322",0.948,"MRPS35","RPL23"
"1323",0.976,"ERAL1","MRPS35"
"1324",0.995,"MRPL3","MRPS35"
"1325",0.965,"MRPL54","MRPS35"
"1326",0.941,"MRPS35","RPS18"
"1327",0.993,"MRPS26","MRPS35"
"1328",0.98,"MRPS21","MRPS35"
"1329",0.962,"MRPL38","MRPS35"
"1330",0.969,"MRPL10","MRPS35"
"1331",0.909,"MRPL1","MRPS35"
"1332",0.961,"MRPL20","MRPS35"
"1333",0.999,"DAP3","MRPS35"
"1334",0.973,"METTL17","MRPS35"
"1335",0.936,"MRPS35","RPS9"
"1336",0.999,"MRPS35","MRPS5"
"1337",0.983,"MRPS17","MRPS35"
"1338",0.951,"MRPS35","MTIF2"
"1339",0.982,"AURKAIP1","MRPS35"
"1340",0.995,"MRPL22","MRPS35"
"1341",0.993,"MRPL40","MRPS35"
"1342",0.94,"MRPL15","MRPS35"
"1343",0.993,"MRPL41","MRPS35"
"1344",0.998,"MRPS2","MRPS35"
"1345",0.975,"MRPL30","MRPS35"
"1346",0.996,"MRPL16","MRPS35"
"1347",0.988,"MRPL34","MRPS35"
"1348",0.994,"MRPS18C","MRPS35"
"1349",0.994,"MRPL23","MRPS35"
