"","score","protein1","protein2"
"486",0.936,"CD19","CD4"
"487",0.999,"CCR5","CD4"
"488",0.976,"CD4","IL10"
"489",0.938,"CD274","CD4"
"490",0.964,"CD4","FCGR3A"
"491",0.991,"CD4","IFNG"
"492",0.947,"CCR7","CD4"
"493",0.958,"CD4","CD80"
"494",0.999,"CD4","CD8A"
"495",0.996,"CD4","ERVW-1"
"496",0.905,"CD4","GOLPH3"
"497",0.98,"CD4","FYN"
"498",0.989,"CD247","CD4"
"499",0.932,"CD38","CD4"
"500",0.985,"CD3G","CD4"
"501",0.924,"CD4","CD40"
"502",0.903,"CD4","FBXW11"
"503",0.936,"CD4","GZMB"
"504",0.999,"CD4","ITIH4"
"505",0.997,"CD4","HLA-DRA"
"506",0.913,"CD4","IL22"
"507",0.936,"CD4","IL2RA"
"508",0.971,"CD28","CD4"
"509",0.96,"CD4","IL7R"
"510",0.911,"CD1D","CD4"
"511",0.947,"BTRC","CD4"
"512",0.968,"CD4","CD82"
"513",0.959,"CD4","FCGR3B"
"514",0.902,"CD4","TLR4"
"515",0.902,"CD4","FCGR1A"
"516",0.914,"CD4","LAG3"
"517",0.921,"CD4","CD8B2"
"518",0.981,"CD4","PTPRC"
"519",0.929,"CD4","ICOS"
"520",0.949,"CD4","ITGAX"
"521",0.961,"CD4","HLA-DQA2"
"522",0.95,"CD4","CD44"
"523",0.983,"CD4","CD40LG"
"524",0.999,"CD4","CXCR4"
"525",0.968,"CD4","TNF"
"526",0.958,"CD4","IL1B"
"527",0.901,"CD4","CD7"
"528",0.96,"CD4","PDCD1"
"529",0.991,"CD3E","CD4"
"530",0.909,"CD4","IL7"
"531",0.958,"CD4","CD86"
"532",0.981,"CD4","SYK"
"533",0.909,"CCR2","CD4"
"534",0.955,"CD4","CTLA4"
"535",0.948,"CD4","CD69"
"536",0.982,"CD3D","CD4"
"537",0.96,"CD4","HLA-DPB1"
"538",0.975,"CD4","IL2"
"539",0.982,"CD4","CD81"
"540",0.969,"CD4","ICAM1"
"541",0.914,"CD4","RBX1"
"542",0.931,"CD4","SELL"
"543",0.934,"CD4","HLA-DOA"
"544",0.931,"CD4","IL13"
"545",0.951,"CD4","HLA-DQB1"
"546",0.942,"CD4","TRAT1"
"547",0.98,"CD4","CD8B"
"548",0.979,"CD4","FOXP3"
"549",0.943,"CD4","ITGAM"
"550",0.947,"CD4","TBX21"
"551",0.942,"CD4","PLAT"
"552",0.917,"CD4","IL15"
"553",0.916,"CD4","FN1"
"554",0.939,"CCL4","CD4"
"555",0.997,"CD4","CD5"
"556",0.909,"CD4","CXCR5"
"557",0.944,"CD4","CUL1"
"558",0.995,"CD4","ZAP70"
"559",0.966,"CD4","IL6"
"560",0.97,"CD4","IL4"
"561",0.96,"CD4","HLA-DMA"
"562",0.998,"CD4","IL16"
"563",0.994,"CD4","HLA-DRB1"
"564",0.982,"CD4","HLA-DQA1"
"565",0.972,"CD4","IL17A"
"566",0.931,"CD27","CD4"
"567",0.97,"MAP3K5","PPP5C"
"568",0.917,"CCT8","PPP5C"
"569",0.962,"PPP5C","STIP1"
"570",0.901,"PPP5C","PSMG1"
"571",0.908,"CCT2","PPP5C"
"572",0.926,"CCT4","PPP5C"
"573",0.908,"CCT7","PPP5C"
"574",0.985,"PPP5C","PTGES3"
"575",0.979,"BRAF","PPP5C"
"576",0.917,"PPP5C","TCP1"
"577",0.911,"CCT3","PPP5C"
"578",0.997,"HSP90AA1","PPP5C"
"579",0.905,"CCT6B","PPP5C"
"580",0.995,"CDC37","PPP5C"
"581",0.997,"HSP90AB1","PPP5C"
"582",0.958,"PPP5C","TSC1"
"583",0.908,"CCT5","PPP5C"
"584",0.909,"DNAJC9","PPP5C"
"585",0.901,"PPP5C","PSMG2"
"586",0.913,"CCT6A","PPP5C"
"587",0.926,"GRB2","MAP4K5"
"588",0.942,"DDC","INMT"
"589",0.913,"IDO1","INMT"
"590",0.95,"INMT","MAOB"
"591",0.912,"AANAT","INMT"
"592",0.942,"IDO2","INMT"
"593",0.93,"INMT","MAOA"
"594",0.912,"AOC1","INMT"
"595",0.996,"ERCC1","ERCC2"
"596",0.974,"ERCC1","RAD52"
"597",0.977,"ERCC1","ERCC8"
"598",0.926,"ERCC1","PAXX"
"599",0.907,"ERCC1","KDM1A"
"600",0.901,"ERCC1","RCOR1"
"601",0.933,"ERCC1","FANCM"
"602",0.962,"ERCC1","XRCC4"
"603",0.997,"ERCC1","ERCC5"
"604",0.994,"ERCC1","XPC"
"605",0.908,"ERCC1","RAD51"
"606",0.966,"ERCC1","LIG4"
"607",0.992,"ERCC1","MSH2"
"608",0.999,"ERCC1","ERCC4"
"609",0.999,"ERCC1","XPA"
"610",0.982,"ERCC1","XRCC5"
"611",0.994,"ERCC1","ERCC3"
"612",0.967,"ERCC1","XRCC1"
"613",0.972,"ERCC1","XRCC6"
"614",0.95,"ERCC1","MSH3"
"615",0.974,"ERCC1","MSH6"
"616",0.946,"ERCC1","FEN1"
"617",0.953,"ERCC1","POLD1"
"618",0.907,"ERCC1","FANCI"
"619",0.998,"ERCC1","RAD23B"
"620",0.943,"DCLRE1C","ERCC1"
"621",0.994,"ERCC1","SLX1A"
"622",0.998,"ERCC1","MUS81"
"623",0.975,"ATM","ERCC1"
"624",0.958,"ERCC1","PRKDC"
"625",0.926,"ERCC1","ERCC6"
"626",0.943,"ERCC1","NHEJ1"
"627",0.938,"ERCC1","PHF21A"
"628",0.912,"ATP23","ERCC1"
"629",0.971,"CETN2","ERCC1"
"630",0.955,"BIVM-ERCC5","ERCC1"
"631",0.951,"ERCC1","FANCD2"
"632",0.931,"EME1","ERCC1"
"633",0.93,"BRCA1","ERCC1"
"634",0.999,"ERCC1","SLX4"
"635",0.983,"FPR3","HEBP1"
"636",0.978,"COX15","UQCRFS1"
"637",0.991,"COX15","MT-CO2"
"638",0.992,"COX15","SURF1"
"639",0.976,"COX15","SCO2"
"640",0.961,"COX15","CYC1"
"641",0.98,"COX15","SCO1"
"642",0.999,"COX10","COX15"
"643",0.931,"COX15","COX6B1"
"644",0.994,"COX15","MT-CO3"
"645",0.992,"COX15","MT-CO1"
"646",0.914,"COX15","PET117"
"647",0.941,"COX15","COX5A"
"648",0.942,"BCS1L","COX15"
"649",0.931,"COX11","COX15"
"650",0.915,"MS4A12","MS4A4E"
"651",0.92,"SLC6A20","XYLT2"
"652",0.918,"GRB2","XYLT2"
"653",0.953,"XYLT1","XYLT2"
"654",0.979,"B4GALT7","XYLT2"
"655",0.993,"GNAS","SCTR"
"656",0.964,"SCTR","VIP"
"657",0.999,"SCT","SCTR"
"658",0.907,"GNG2","SCTR"
"659",0.959,"GNB1","SCTR"
"660",0.967,"ANO6","SCTR"
"661",0.906,"ADCYAP1","SCTR"
"662",0.924,"HDAC1","SNAI2"
"663",0.915,"SNAI2","TP53"
"664",0.929,"CDH1","SNAI2"
"665",0.91,"SNAI2","SOX9"
"666",0.952,"SNAI2","TWIST1"
"667",0.974,"KDM1A","SNAI2"
"668",0.988,"SLC3A2","SLC7A9"
"669",0.999,"SLC3A1","SLC7A9"
"670",0.999,"BECN1","RB1CC1"
"671",0.999,"RB1CC1","ULK2"
"672",0.953,"GABARAPL2","RB1CC1"
"673",0.977,"PTK2B","RB1CC1"
"674",0.999,"RB1CC1","ULK1"
"675",0.999,"CCPG1","RB1CC1"
"676",0.97,"ATG5","RB1CC1"
"677",0.914,"RB1CC1","SQSTM1"
"678",0.915,"ATG7","RB1CC1"
"679",0.909,"NBR1","RB1CC1"
"680",0.994,"PTK2","RB1CC1"
"681",0.984,"RB1CC1","TP53"
"682",0.989,"ATG12","RB1CC1"
"683",0.999,"ATG16L1","RB1CC1"
"684",0.954,"BECN2","RB1CC1"
"685",0.983,"C9orf72","RB1CC1"
"686",0.93,"RB1CC1","WIPI2"
"687",0.97,"GABARAP","RB1CC1"
